,UAV_1_new_velocity_twist,actual_UAV_1_pose,actual_UAV_1_vel,goal_UAV_1_pose
0,"linear: 
  x: 0.556159794331
  y: -1.68072938919
  z: 0.007031433659864994
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.94508807158
  y: 3.82314391099
  z: 4.96973228455
orientation: 
  x: -0.00501868610914
  y: 0.0058904088851
  z: 0.0389110206365
  w: 0.999212714264","linear: 
  x: -0.015006381087
  y: 0.0035135911312
  z: 0.104754686356
angular: 
  x: 0.00745617458597
  y: -0.00559885753319
  z: 0.0226058363914","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
1,"linear: 
  x: 0.556760489941
  y: -1.68095827103
  z: 0.001732336737013822
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.94633523917
  y: 3.82409765236
  z: 4.99254179001
orientation: 
  x: -0.00208566554284
  y: 0.00738056835342
  z: 0.0382221748957
  w: 0.999239832351","linear: 
  x: -0.0231529176235
  y: -0.01701499708
  z: 0.0392280891538
angular: 
  x: 0.354439288378
  y: 0.106343619525
  z: -0.0658726245165","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
2,"linear: 
  x: 0.553173005581
  y: -1.67765307426
  z: -0.0016862426507454837
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.94321932068
  y: 3.80707533416
  z: 5.00724554062
orientation: 
  x: 0.0921050993344
  y: 0.0399535717484
  z: 0.0343844086624
  w: 0.994353093836","linear: 
  x: 0.0257700793445
  y: -0.200398758054
  z: 0.0449199452996
angular: 
  x: 0.877621650696
  y: 0.194402337074
  z: 0.0103110820055","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
3,"linear: 
  x: 0.535626709461
  y: -1.66394591331
  z: -0.007049871903267613
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.92256679555
  y: 3.73806639985
  z: 5.03004026413
orientation: 
  x: 0.118168958161
  y: 0.0484955700761
  z: 0.0347084332881
  w: 0.99120109043","linear: 
  x: 0.158132225275
  y: -0.534766674042
  z: 0.0192902199924
angular: 
  x: -0.143038913608
  y: -0.00174454040825
  z: 0.0641725882888","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
4,"linear: 
  x: 0.503723502159
  y: -1.63905000687
  z: -0.01155452792443812
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.88471455296
  y: 3.61311025396
  z: 5.04848623276
orientation: 
  x: 0.0970295663039
  y: 0.0417712627001
  z: 0.0339541316782
  w: 0.993824703767","linear: 
  x: 0.242064520717
  y: -0.791826069355
  z: 0.00863149855286
angular: 
  x: -0.267176061869
  y: 0.00174545822665
  z: -0.0603808537126","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
5,"linear: 
  x: 0.462607383728
  y: -1.60635280609
  z: -0.015499922095108828
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.83670649847
  y: 3.4493793495
  z: 5.06373119354
orientation: 
  x: 0.0813436129043
  y: 0.0374644760477
  z: 0.0338138266495
  w: 0.99540758225","linear: 
  x: 0.278804242611
  y: -0.929340064526
  z: -0.00249443389475
angular: 
  x: -0.0480630733073
  y: -0.0281720943749
  z: 0.0137735884637","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
6,"linear: 
  x: 0.431556463242
  y: -1.5892727375
  z: -0.018089564521065388
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.78672143241
  y: 3.27160658911
  z: 5.07272577286
orientation: 
  x: 0.0738089355361
  y: 0.0331587832672
  z: 0.0325854978975
  w: 0.996188195801","linear: 
  x: 0.296814203262
  y: -0.978644549847
  z: -0.00859198439866
angular: 
  x: -0.0545824952424
  y: -0.0412434265018
  z: -0.0978316292167","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
7,"linear: 
  x: 0.409398436546
  y: -1.59687781334
  z: -0.022355198536351824
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.71087507328
  y: 2.97692682818
  z: 5.08652257919
orientation: 
  x: 0.0692461219663
  y: 0.0294038008527
  z: 0.0338355734791
  w: 0.996591965177","linear: 
  x: 0.285088717937
  y: -1.01674306393
  z: -0.0156105514616
angular: 
  x: -0.013021540828
  y: -0.00781496055424
  z: 0.105038933456","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
8,"linear: 
  x: 0.406046628952
  y: -1.61225390434
  z: -0.025487326433256983
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.65951187333
  y: 2.76527520493
  z: 5.09591913223
orientation: 
  x: 0.0693973811309
  y: 0.0292106152551
  z: 0.0339760064799
  w: 0.99658234704","linear: 
  x: 0.26898470521
  y: -1.03384804726
  z: -0.0230761300772
angular: 
  x: -0.0198890678585
  y: -0.0107632111758
  z: -0.0140218837187","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
9,"linear: 
  x: 0.416917204857
  y: -1.63614869118
  z: -0.0259564790407562
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.6093102785
  y: 2.54577740506
  z: 5.09482383728
orientation: 
  x: 0.0712300304063
  y: 0.029258119913
  z: 0.034153361825
  w: 0.996445579579","linear: 
  x: 0.257842600346
  y: -1.05349242687
  z: -0.0266902484
angular: 
  x: 0.0666510686278
  y: 0.0244285110384
  z: -0.0219551920891","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
10,"linear: 
  x: 0.445836037397
  y: -1.66705656052
  z: -0.02653833881561877
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.56008804759
  y: 2.32085713223
  z: 5.09396886826
orientation: 
  x: 0.073338527506
  y: 0.0310057879588
  z: 0.0334318473203
  w: 0.996264228546","linear: 
  x: 0.247894704342
  y: -1.07726752758
  z: -0.0253841374069
angular: 
  x: 0.0173327233642
  y: -0.015599518083
  z: -0.0423554629087","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
11,"linear: 
  x: 0.496850371361
  y: -1.70274162292
  z: -0.029566236656991235
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.50838131627
  y: 2.08676811532
  z: 5.10123872757
orientation: 
  x: 0.0763953865237
  y: 0.0334714650483
  z: 0.0336005200106
  w: 0.995949000201","linear: 
  x: 0.251577138901
  y: -1.10351705551
  z: -0.0263305008411
angular: 
  x: 0.0466759465635
  y: 0.0353843197227
  z: 0.0613214075565","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
12,"linear: 
  x: 0.554813027382
  y: -1.73029708862
  z: -0.03271081009574276
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.45484043082
  y: 1.84782728032
  z: 5.10811042786
orientation: 
  x: 0.0791037231348
  y: 0.0364500867617
  z: 0.0340514912664
  w: 0.995617641519","linear: 
  x: 0.258819937706
  y: -1.13680517673
  z: -0.0300143230706
angular: 
  x: 0.0106106698513
  y: 0.0127643682063
  z: 0.0297845751047","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
13,"linear: 
  x: 0.516927480698
  y: -1.71203386784
  z: -0.03640981096389941
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.39852894267
  y: 1.60910853222
  z: 5.1159901619
orientation: 
  x: 0.0818325699751
  y: 0.0408700643835
  z: 0.0331951102245
  w: 0.995254315733","linear: 
  x: 0.280188262463
  y: -1.16442453861
  z: -0.0317354686558
angular: 
  x: 0.00102302746382
  y: 0.0755873695016
  z: -0.037768304348","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
14,"linear: 
  x: 0.537117063999
  y: -1.72074306011
  z: -0.039610293717372555
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.33257324418
  y: 1.35511478261
  z: 5.12111139297
orientation: 
  x: 0.0828345965854
  y: 0.0417164868965
  z: 0.0334568826161
  w: 0.995127530187","linear: 
  x: 0.302608966827
  y: -1.20089268684
  z: -0.0404734201729
angular: 
  x: -0.00479329470545
  y: -0.0406965538859
  z: 0.00375897716731","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
15,"linear: 
  x: 0.664435625076
  y: -1.75659644604
  z: -0.0430516935137216
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.26209647378
  y: 1.09888633564
  z: 5.12604236603
orientation: 
  x: 0.0822509271562
  y: 0.0404582546457
  z: 0.0329493080918
  w: 0.995244823","linear: 
  x: 0.320098817348
  y: -1.22511482239
  z: -0.0445494875312
angular: 
  x: 0.00165994698182
  y: 0.029224075377
  z: -0.0014998591505","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
16,"linear: 
  x: 0.831532716751
  y: -1.76790320873
  z: -0.0478970969489548
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.18789483031
  y: 0.836764419828
  z: 5.13385629654
orientation: 
  x: 0.0837992128002
  y: 0.044294607682
  z: 0.0334292369284
  w: 0.994936262171","linear: 
  x: 0.339291602373
  y: -1.24704742432
  z: -0.041951559484
angular: 
  x: 0.0963296964765
  y: 0.0925773382187
  z: 0.00493497168645","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
17,"linear: 
  x: 0.96457451582
  y: -1.75120735168
  z: -0.0535615178535446
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.10888601264
  y: 0.573144996915
  z: 5.14248180389
orientation: 
  x: 0.0869559833094
  y: 0.0549490043066
  z: 0.0322330257298
  w: 0.99417317201","linear: 
  x: 0.376809984446
  y: -1.27331483364
  z: -0.0464765354991
angular: 
  x: 0.0211564842612
  y: 0.156073391438
  z: -0.0824007615447","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
18,"linear: 
  x: 0.982173264027
  y: -1.74123859406
  z: -0.05851434212153471
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -1.02162540873
  y: 0.308931196485
  z: 5.14766931534
orientation: 
  x: 0.0876684117978
  y: 0.0612793274583
  z: 0.0321612057585
  w: 0.993742798939","linear: 
  x: 0.436386346817
  y: -1.30359554291
  z: -0.0527202039957
angular: 
  x: 0.000820625573397
  y: -0.029627583921
  z: 0.0346425026655","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
19,"linear: 
  x: 0.998746573925
  y: -1.73161911964
  z: -0.06324987033644096
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.918962606992
  y: 0.0341428168154
  z: 5.15046977997
orientation: 
  x: 0.0857028743059
  y: 0.0674866077133
  z: 0.0310868404093
  w: 0.993546266395","linear: 
  x: 0.502127051353
  y: -1.32296252251
  z: -0.0536335408688
angular: 
  x: -0.0259626358747
  y: 0.048696026206
  z: 0.0514083206654","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
20,"linear: 
  x: 1.0134806633
  y: -1.72281885147
  z: -0.06893454764552366
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.800959715451
  y: -0.246971046176
  z: 5.15358304977
orientation: 
  x: 0.0858398220452
  y: 0.0675427044623
  z: 0.0317265876959
  w: 0.99351040843","linear: 
  x: 0.563325107098
  y: -1.33341133595
  z: -0.059871841222
angular: 
  x: 0.0142926517874
  y: -0.00424794526771
  z: 0.0103469276801","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
21,"linear: 
  x: 1.02667248249
  y: -1.7147333622
  z: -0.07505333751735609
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.674807319249
  y: -0.524771129336
  z: 5.15584468842
orientation: 
  x: 0.0858961740124
  y: 0.0674833008913
  z: 0.0306350673309
  w: 0.993543830961","linear: 
  x: 0.602247416973
  y: -1.35011994839
  z: -0.0677768737078
angular: 
  x: 0.025170892477
  y: 0.0121385939419
  z: -0.0482705794275","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
22,"linear: 
  x: 1.03908014297
  y: -1.70699727535
  z: -0.08045418213050183
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.54052139243
  y: -0.803764259067
  z: 5.15466690063
orientation: 
  x: 0.0869535918606
  y: 0.0666409552565
  z: 0.0309795771427
  w: 0.99349802302","linear: 
  x: 0.638810098171
  y: -1.3530216217
  z: -0.0758264586329
angular: 
  x: 0.00239860825241
  y: -0.0456087253988
  z: -0.0458225868642","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
23,"linear: 
  x: 1.05131196976
  y: -1.69914853573
  z: -0.08739186020272835
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: -0.396318564023
  y: -1.08992091342
  z: 5.15406227112
orientation: 
  x: 0.0863123553435
  y: 0.0666738479113
  z: 0.0306771299982
  w: 0.993561114887","linear: 
  x: 0.660030841827
  y: -1.36600530148
  z: -0.0828516483307
angular: 
  x: -0.0245365966111
  y: 0.0338430292904
  z: 0.0660001859069","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
